order_id,return_date,return_quantity,reason_returned,product_id
ES-2018-4225827,23/11/2018 00:00,1,Not Given,OFF-PA-10001735
US-2018-5610107,05/02/2018 00:00,1,Not Given,OFF-FA-10000053
MX-2017-2487419,28/01/2017 00:00,1,Wrong Color,FUR-CH-10000105
IR-2018-1961691,02/11/2018 00:00,1,Not Given,OFF-NOV-10003499
CA-2018-5715182,24/12/2018 00:00,1,Not Given,OFF-BI-10004352
CA-2019-1008776,02/09/2019 00:00,1,Wrong Color,OFF-BI-10001989
UP-2019-2783351,27/06/2019 00:00,1,Wrong Item,FUR-SAF-10003819
US-2018-804348,28/12/2018 00:00,1,Not Given,TEC-AC-10001364
MX-2018-5071364,30/09/2018 00:00,1,Not Given,TEC-AC-10002257
CA-2019-1586066,15/12/2019 00:00,1,Not Given,OFF-AP-10001947
CA-2018-3960209,26/04/2018 00:00,1,Not Given,OFF-AR-10003217
MO-2018-43236,03/01/2019 00:00,1,Wrong Color,OFF-TEN-10004210
IN-2019-1180191,02/07/2019 00:00,1,Wrong Color,OFF-FA-10002790
US-2019-1220207,24/01/2019 00:00,1,Not Given,TEC-AC-10001465
MX-2019-3605756,25/05/2019 00:00,1,Wrong Item,OFF-LA-10001677
NG-2016-63134,09/04/2016 00:00,1,Not Given,OFF-BOS-10002558
MX-2018-5233087,12/11/2018 00:00,1,Wrong Item,FUR-CH-10001658
MX-2019-589466,01/05/2019 00:00,1,Not Needed,OFF-FA-10001237
US-2016-415448,15/10/2016 00:00,1,Wrong Color,TEC-CO-10001818
IN-2019-2538312,27/09/2019 00:00,1,Not Given,OFF-AP-10002963
CA-2019-1486648,02/05/2019 00:00,1,Wrong Color,FUR-CH-10003774
JO-2019-4751102,22/12/2019 00:00,1,Not Given,OFF-AME-10000244
IN-2019-1482921,14/06/2019 00:00,1,Not Needed,FUR-BO-10001471
ID-2020-1366033,30/01/2020 00:00,1,Wrong Item,OFF-AR-10001162
IZ-2020-1007387,23/01/2020 00:00,1,Wrong Color,OFF-WIL-10002772
CA-2017-119480,05/02/2017 00:00,1,Wrong Item,OFF-AP-10001205
US-2019-1917148,26/12/2019 00:00,1,Not Given,FUR-TA-10001572
IN-2017-103326,29/01/2017 00:00,1,Not Given,OFF-BI-10004436
ID-2018-152924,10/06/2018 00:00,1,Not Given,OFF-SU-10003688
MX-2018-3560612,24/08/2018 00:00,1,Wrong Item,FUR-FU-10000140
MX-2019-5912344,04/06/2019 00:00,1,Wrong Item,FUR-CH-10000105
MX-2019-1617483,18/05/2019 00:00,1,Not Needed,OFF-FA-10001237
US-2019-2240428,30/12/2019 00:00,1,Not Given,FUR-TA-10001572
US-2019-1008515,26/11/2019 00:00,1,Not Given,FUR-TA-10004249
IN-2019-51033,07/10/2019 00:00,1,Wrong Item,TEC-MA-10000572
MX-2017-5792555,05/06/2017 00:00,1,Not Given,TEC-CO-10002427
CA-2019-5711031,17/12/2019 00:00,1,Not Needed,OFF-PA-10003797
CA-2018-4624590,27/07/2018 00:00,1,Wrong Item,OFF-ST-10000060
MX-2018-187358,06/09/2018 00:00,1,Wrong Item,OFF-FA-10004186
CA-2019-3122813,15/10/2019 00:00,1,Not Given,TEC-AC-10003610
US-2018-4959643,26/03/2018 00:00,2,Wrong Item,OFF-LA-10001582
MX-2019-4345779,28/10/2019 00:00,1,Not Needed,OFF-FA-10000509
ES-2018-3763795,06/01/2019 00:00,1,Wrong Item,TEC-PH-10004162
ES-2017-5224636,17/09/2017 00:00,1,Wrong Item,OFF-ST-10002800
IN-2018-2998564,26/08/2018 00:00,1,Not Given,TEC-PH-10001884
ES-2018-5211562,06/11/2018 00:00,1,Not Needed,OFF-PA-10001686
CA-2018-2909184,15/11/2018 00:00,1,Not Given,TEC-PH-10000586
ES-2017-3336214,09/08/2017 00:00,1,Not Given,TEC-AC-10001089
IN-2018-6607,19/12/2018 00:00,1,Wrong Item,TEC-AC-10003895
UP-2018-1316203,15/11/2018 00:00,1,Wrong Color,TEC-OKI-10000794
CA-2019-2475686,01/10/2019 00:00,1,Wrong Item,FUR-FU-10004188
IN-2019-435196,05/04/2019 00:00,1,Not Given,TEC-CO-10001482
IN-2018-2252453,06/07/2018 00:00,1,Wrong Color,OFF-AP-10003500
US-2017-1559657,16/11/2017 00:00,1,Not Needed,OFF-EN-10001861
ID-2019-5452029,28/05/2019 00:00,1,Wrong Item,OFF-AR-10002392
ES-2019-5170213,20/03/2019 00:00,1,Wrong Item,TEC-AC-10001030
JO-2020-3225568,30/01/2020 00:00,1,Not Given,OFF-AME-10000244
IT-2017-3215968,01/03/2017 00:00,1,Wrong Item,TEC-MA-10003121
ES-2019-3673987,04/05/2019 00:00,1,Wrong Item,FUR-FU-10001132
ES-2018-5629844,09/01/2019 00:00,1,Not Given,OFF-ST-10003995
ES-2016-2455225,26/05/2016 00:00,1,Not Given,OFF-ST-10004020
US-2017-989103,02/06/2017 00:00,1,Not Given,FUR-BO-10004423
MX-2018-4498364,25/10/2018 00:00,1,Not Given,TEC-PH-10003157
ES-2020-2083319,14/02/2020 00:00,1,Wrong Item,TEC-PH-10003549
ID-2018-2164421,28/10/2018 00:00,1,Not Given,OFF-ST-10000327
US-2018-5657354,09/09/2018 00:00,1,Wrong Color,FUR-FU-10000065
ES-2018-1644427,02/10/2018 00:00,1,Wrong Item,OFF-LA-10001549
IN-2016-2674739,20/05/2016 00:00,1,Wrong Item,FUR-CH-10001559
ID-2019-803592,09/01/2020 00:00,1,Not Given,OFF-AP-10000534
IT-2018-4388990,14/08/2018 00:00,1,Wrong Color,OFF-ST-10001413
CA-2018-4334785,03/11/2018 00:00,1,Not Given,TEC-PH-10000586
IN-2016-38965,19/10/2016 00:00,1,Not Needed,TEC-AC-10004652
RO-2019-4901880,06/11/2019 00:00,1,Not Given,OFF-BIC-10003800
ES-2018-2831592,27/09/2018 00:00,1,Not Given,FUR-BO-10001621
ES-2018-1005601,07/08/2018 00:00,1,Not Needed,FUR-CH-10004910
US-2017-3966036,27/12/2017 00:00,1,Wrong Item,OFF-PA-10004155
MX-2019-174372,24/07/2019 00:00,1,Not Given,OFF-EN-10003939
MX-2018-1851747,06/12/2018 00:00,1,Wrong Color,OFF-SU-10004662
CA-2017-589650,30/11/2017 00:00,1,Not Given,FUR-FU-10004904
IN-2018-3131546,14/11/2018 00:00,1,Not Needed,FUR-FU-10003540
RO-2019-1380128,23/04/2019 00:00,1,Not Given,OFF-SME-10000538
IT-2019-5463580,22/01/2020 00:00,1,Not Needed,OFF-PA-10002248
IN-2018-737551,24/08/2018 00:00,1,Wrong Item,OFF-ST-10002505
IT-2019-1294421,27/01/2019 00:00,1,Wrong Item,FUR-CH-10002974
IR-2018-108229,18/08/2018 00:00,1,Not Needed,OFF-CAM-10000497
CA-2018-1040776,23/07/2018 00:00,1,Wrong Item,OFF-ST-10000060
IN-2018-2512527,16/11/2018 00:00,1,Wrong Color,FUR-CH-10002940
ES-2018-893736,13/11/2018 00:00,1,Not Given,OFF-AR-10001228
ES-2018-3106801,27/04/2018 00:00,1,Wrong Item,FUR-FU-10001775
MX-2019-4690420,14/11/2019 00:00,1,Not Given,OFF-ST-10000035
MX-2019-4311708,23/08/2019 00:00,1,Wrong Color,TEC-CO-10001234
ES-2019-645830,08/09/2019 00:00,1,Wrong Color,OFF-AR-10001110
MX-2019-5469593,25/09/2019 00:00,2,Wrong Item,OFF-PA-10004421
ID-2018-39978,15/12/2018 00:00,1,Wrong Color,OFF-SU-10001689
ES-2018-2082663,26/03/2018 00:00,1,Not Given,OFF-PA-10003884
CA-2018-2898871,17/09/2018 00:00,1,Not Given,OFF-PA-10004610
IN-2019-1556282,20/06/2019 00:00,1,Wrong Item,FUR-CH-10003009
MX-2016-560211,15/12/2016 00:00,1,Wrong Color,FUR-CH-10000326
IN-2019-4929798,09/07/2019 00:00,1,Not Needed,FUR-BO-10001471
ID-2019-4333924,22/09/2019 00:00,1,Not Given,TEC-CO-10003587
MX-2018-966338,16/02/2018 00:00,1,Wrong Color,OFF-ST-10004190
IT-2019-5908912,08/07/2019 00:00,1,Wrong Item,FUR-BO-10002812
CA-2017-1660760,02/01/2018 00:00,1,Wrong Color,TEC-AC-10004145
IN-2016-5524852,18/08/2016 00:00,1,Not Needed,FUR-BO-10001934
CA-2019-1223254,11/12/2019 00:00,1,Wrong Item,OFF-AR-10003514
MX-2019-3580627,22/03/2019 00:00,1,Not Given,OFF-BI-10001895
ES-2019-2746858,06/02/2019 00:00,1,Not Needed,TEC-MA-10002779
US-2019-4542950,17/06/2019 00:00,1,Wrong Color,FUR-FU-10004790
US-2019-3214009,05/01/2020 00:00,1,Not Given,FUR-TA-10004249
ID-2019-378932,06/10/2019 00:00,1,Not Given,FUR-TA-10000490
MZ-2018-2253157,17/07/2018 00:00,1,Wrong Item,OFF-FEL-10002897
CA-2019-3694830,23/08/2019 00:00,1,Wrong Item,FUR-FU-10000260
ES-2019-2889864,04/07/2019 00:00,1,Not Given,OFF-ST-10004367
MR-2018-5178358,04/06/2018 00:00,1,Not Given,TEC-STA-10003081
IN-2018-2583191,29/09/2018 00:00,1,Not Given,OFF-BI-10001967
CA-2017-5663307,10/01/2018 00:00,1,Wrong Item,OFF-BI-10001107
US-2018-3150077,25/05/2018 00:00,1,Wrong Item,TEC-MA-10001047
IN-2019-4519776,20/04/2019 00:00,1,Not Given,TEC-AC-10001438
MX-2019-2402675,24/11/2019 00:00,1,Not Given,OFF-EN-10000139
CA-2018-2214274,20/04/2018 00:00,1,Wrong Item,OFF-BI-10002764
US-2016-3067803,07/10/2016 00:00,1,Wrong Item,OFF-EN-10001939
IN-2019-3648235,11/04/2019 00:00,1,Wrong Item,OFF-AR-10002340
US-2019-312079,18/04/2019 00:00,2,Not Given,OFF-BI-10004182
MX-2019-1571905,05/08/2019 00:00,1,Not Given,OFF-ST-10004296
IN-2019-5376545,28/04/2019 00:00,1,Not Given,OFF-BI-10002562
ES-2018-2724307,03/01/2019 00:00,1,Wrong Color,FUR-BO-10003779
CA-2018-1956158,20/11/2018 00:00,1,Not Given,OFF-BI-10004817
UP-2019-3014124,20/04/2019 00:00,1,Wrong Color,TEC-BEL-10004950
MX-2017-1420179,21/05/2017 00:00,1,Not Given,OFF-SU-10002962
NI-2018-4252861,09/02/2018 00:00,1,Not Given,TEC-HP -10003345
US-2019-5520473,15/01/2020 00:00,1,Not Given,TEC-CO-10002586
US-2018-4976249,17/12/2018 00:00,1,Not Given,FUR-FU-10003297
US-2018-4787448,18/09/2018 00:00,1,Not Given,OFF-PA-10002219
RW-2019-3444620,01/03/2019 00:00,1,Not Needed,OFF-BIN-10000308
US-2017-1962945,18/08/2017 00:00,1,Wrong Color,TEC-PH-10003932
CA-2019-4745413,02/08/2019 00:00,1,Wrong Color,OFF-BI-10001989
US-2017-843381,02/05/2017 00:00,1,Wrong Item,FUR-CH-10004827
MX-2019-1097305,26/10/2019 00:00,1,Wrong Item,OFF-AR-10001072
US-2020-4426759,21/01/2020 00:00,1,Wrong Color,OFF-BI-10003883
CA-2017-145394,20/11/2017 00:00,1,Not Needed,TEC-PH-10001051
ES-2018-5923653,15/12/2018 00:00,1,Not Given,OFF-AR-10000266
IN-2019-4094396,15/12/2019 00:00,1,Not Given,TEC-PH-10004261
IN-2019-3896348,25/03/2019 00:00,1,Wrong Item,TEC-CO-10004535
ES-2017-2705042,28/09/2017 00:00,1,Not Needed,OFF-BI-10004195
MX-2018-2701519,02/03/2018 00:00,2,Not Needed,TEC-AC-10001055
ID-2017-4712228,24/12/2017 00:00,1,Not Given,TEC-AC-10002172
IN-2019-1900230,08/06/2019 00:00,1,Not Given,OFF-EN-10001882
ES-2018-5341033,22/11/2018 00:00,1,Not Given,OFF-SU-10003252
IN-2019-5843414,14/09/2019 00:00,1,Not Given,TEC-PH-10002991
ES-2019-5968960,07/12/2019 00:00,1,Not Needed,OFF-AR-10001482
ES-2019-224711,16/08/2019 00:00,1,Not Needed,OFF-BI-10004220
ID-2019-1583332,15/03/2019 00:00,1,Not Given,TEC-CO-10004507
MX-2019-2696959,31/05/2019 00:00,2,Wrong Color,FUR-FU-10002696
AG-2019-4640616,25/03/2019 00:00,1,Not Given,OFF-ADV-10004875
US-2019-1268162,06/02/2019 00:00,1,Not Given,TEC-AC-10002153
ES-2017-4737443,30/11/2017 00:00,2,Wrong Item,OFF-BI-10000368
TU-2019-387392,06/05/2019 00:00,1,Wrong Color,OFF-STO-10003098
ID-2018-4891758,15/01/2019 00:00,1,Not Given,OFF-FA-10002890
US-2019-5972774,12/08/2019 00:00,1,Wrong Item,TEC-AC-10003590
US-2019-3408626,27/11/2019 00:00,1,Not Given,OFF-EN-10003448
US-2018-4389780,01/11/2018 00:00,1,Not Given,FUR-CH-10003697
CA-2016-5273416,01/01/2017 00:00,1,Not Needed,FUR-BO-10000362
MX-2017-4083443,19/10/2017 00:00,1,Wrong Item,TEC-AC-10002219
CA-2018-504167,20/12/2018 00:00,1,Wrong Item,OFF-PA-10000659
ES-2017-5412002,02/11/2017 00:00,1,Not Given,TEC-AC-10003487
CA-2018-2037099,28/01/2018 00:00,1,Wrong Item,OFF-BI-10002026
CA-2019-618295,06/01/2020 00:00,1,Not Needed,OFF-PA-10001970
MX-2017-5806473,15/01/2017 00:00,1,Not Needed,TEC-PH-10000014
LE-2019-5632251,06/09/2019 00:00,1,Not Given,OFF-NOV-10004680
ES-2019-2414693,28/04/2019 00:00,1,Not Given,OFF-ST-10000095
MX-2018-3689123,12/12/2018 00:00,1,Wrong Item,OFF-BI-10003324
MX-2017-3716677,08/06/2017 00:00,1,Not Needed,OFF-FA-10003879
CA-2018-2241734,05/08/2018 00:00,1,Not Given,TEC-PH-10000369
TU-2018-2326843,28/10/2018 00:00,2,Wrong Item,OFF-CUI-10000682
CA-2019-4527035,01/03/2019 00:00,1,Not Given,FUR-CH-10003973
US-2018-529700,16/03/2018 00:00,1,Wrong Item,FUR-BO-10001524
IT-2019-3173049,02/08/2019 00:00,1,Not Given,OFF-BI-10001984
MX-2019-3536825,08/08/2019 00:00,1,Not Given,OFF-AP-10002531
US-2019-5044132,13/07/2019 00:00,1,Wrong Color,FUR-FU-10004790
US-2019-1919223,08/10/2019 00:00,1,Not Given,OFF-FA-10003911
MX-2019-2884872,19/09/2019 00:00,1,Wrong Item,OFF-EN-10001751
AO-2019-7730,16/01/2020 00:00,1,Not Needed,OFF-SAN-10001094
ID-2019-1977863,05/10/2019 00:00,1,Not Given,OFF-BI-10003784
CA-2019-2048254,30/06/2019 00:00,1,Wrong Item,OFF-EN-10001141
CA-2019-2999411,16/08/2019 00:00,1,Not Needed,TEC-PH-10003601
MX-2019-3714166,08/01/2020 00:00,1,Wrong Item,OFF-SU-10001624
ID-2019-5911495,17/08/2019 00:00,1,Not Given,TEC-CO-10003587
ES-2018-2519876,29/12/2018 00:00,1,Wrong Color,OFF-EN-10002891
MX-2019-4595376,03/06/2019 00:00,1,Wrong Item,OFF-LA-10001677
CA-2018-4363776,18/07/2018 00:00,1,Wrong Item,OFF-BI-10004728
CA-2019-1445933,17/11/2019 00:00,1,Wrong Item,TEC-PH-10003988
MX-2017-2058510,23/12/2017 00:00,1,Wrong Item,OFF-BI-10004830
US-2019-5913884,29/10/2019 00:00,1,Not Given,OFF-FA-10003911
MX-2019-4911364,17/11/2019 00:00,1,Wrong Item,TEC-PH-10003877
MX-2018-5544422,16/10/2018 00:00,1,Wrong Item,FUR-FU-10000743
IN-2019-5276068,11/06/2019 00:00,1,Wrong Item,OFF-EN-10000826
NI-2019-5102970,23/10/2019 00:00,1,Not Needed,OFF-ACC-10003925
MX-2019-5734502,08/10/2019 00:00,1,Wrong Item,OFF-LA-10000633
MX-2019-3856423,12/08/2019 00:00,1,Wrong Item,OFF-PA-10000752
US-2019-4710380,25/02/2019 00:00,2,Not Given,OFF-BI-10004182
ES-2019-2308115,25/06/2019 00:00,1,Not Given,TEC-MA-10004693
IN-2017-3237580,17/06/2017 00:00,1,Not Needed,OFF-PA-10001302
SA-2017-4349331,11/06/2017 00:00,1,Wrong Item,OFF-STO-10003082
IT-2018-1254422,30/06/2018 00:00,1,Not Given,OFF-BI-10001723
IN-2019-680594,25/09/2019 00:00,1,Not Given,OFF-LA-10004614
ES-2017-5416993,18/07/2017 00:00,1,Not Given,OFF-AR-10001176
ES-2018-3757071,08/12/2018 00:00,1,Wrong Color,TEC-AC-10001226
EG-2019-130751,29/05/2019 00:00,1,Wrong Item,OFF-ROG-10004949
ES-2018-2339975,19/10/2018 00:00,1,Wrong Color,TEC-CO-10002769
ES-2019-4945588,04/05/2019 00:00,1,Wrong Item,FUR-FU-10001132
CA-2017-3276816,12/11/2017 00:00,1,Wrong Item,OFF-AR-10003732
MX-2017-531164,01/11/2017 00:00,1,Not Given,OFF-AR-10001813
CA-2019-1802545,02/01/2020 00:00,1,Not Given,TEC-AC-10000474
CA-2018-761915,07/11/2018 00:00,1,Wrong Color,OFF-PA-10000482
CA-2019-1015950,13/05/2019 00:00,1,Wrong Item,OFF-BI-10002799
IN-2019-4140371,05/09/2019 00:00,1,Wrong Color,TEC-AC-10004938
ID-2019-3836659,31/08/2019 00:00,1,Wrong Item,OFF-SU-10000148
IT-2018-2492962,14/03/2018 00:00,1,Not Given,TEC-PH-10004614
UZ-2019-4034484,17/08/2019 00:00,1,Not Needed,TEC-MOT-10000851
IN-2018-3369307,07/07/2018 00:00,1,Not Needed,OFF-LA-10003505
TU-2017-2641605,20/03/2017 00:00,1,Wrong Item,FUR-TEN-10003879
CA-2019-1988055,25/12/2019 00:00,1,Wrong Item,FUR-CH-10002335
US-2017-5477040,10/11/2017 00:00,2,Not Given,OFF-EN-10004793
ID-2018-2839604,25/12/2018 00:00,1,Wrong Color,OFF-SU-10001689
CA-2018-3006333,12/01/2019 00:00,1,Not Needed,FUR-CH-10002331
CA-2017-3816898,14/11/2017 00:00,1,Wrong Color,TEC-PH-10003580
CA-2018-4176678,21/02/2018 00:00,1,Not Given,OFF-AP-10001205
ID-2019-3627804,20/02/2019 00:00,1,Wrong Color,FUR-FU-10000422
MX-2019-165568,16/08/2019 00:00,1,Not Given,OFF-LA-10001800
CA-2019-4881581,11/06/2019 00:00,1,Not Given,TEC-AC-10000927
MO-2019-5628375,27/12/2019 00:00,1,Not Given,TEC-CIS-10002986
US-2019-2382231,25/10/2019 00:00,1,Wrong Item,OFF-LA-10004969
IR-2018-5669138,10/10/2018 00:00,1,Not Given,OFF-NOV-10003499
US-2019-5339871,07/08/2019 00:00,1,Not Given,OFF-SU-10000213
ID-2019-413204,19/09/2019 00:00,1,Wrong Item,OFF-LA-10004848
ES-2019-4058811,21/09/2019 00:00,1,Not Given,FUR-BO-10004560
IN-2019-5217595,23/12/2019 00:00,1,Wrong Item,OFF-ST-10000007
IN-2017-5311527,21/10/2017 00:00,1,Not Given,FUR-CH-10001664
CA-2019-2813979,23/07/2019 00:00,1,Wrong Color,OFF-AR-10004344
TU-2019-5085087,30/04/2019 00:00,1,Wrong Color,OFF-STO-10003098
IN-2019-2993138,02/03/2019 00:00,1,Wrong Color,OFF-SU-10004814
CA-2018-56615,15/07/2018 00:00,1,Wrong Item,TEC-PH-10003437
ES-2019-5744948,16/01/2020 00:00,1,Wrong Item,TEC-PH-10003762
IN-2019-4942240,30/05/2019 00:00,1,Not Given,FUR-FU-10003855
MX-2019-4445789,23/09/2019 00:00,1,Wrong Color,FUR-FU-10002422
ES-2018-448620,21/06/2018 00:00,1,Wrong Item,TEC-AC-10004704
IN-2019-2679021,26/04/2019 00:00,1,Wrong Item,TEC-CO-10004535
ES-2018-1051981,20/06/2018 00:00,1,Wrong Color,TEC-MA-10004609
US-2018-2881131,03/01/2019 00:00,1,Not Given,TEC-AC-10001364
IN-2018-1362782,07/09/2018 00:00,1,Not Given,TEC-PH-10003002
ES-2019-5276440,14/01/2020 00:00,1,Wrong Item,OFF-ST-10001999
MX-2019-5630001,11/11/2019 00:00,1,Not Needed,TEC-PH-10002574
MX-2017-3751259,03/11/2017 00:00,1,Not Given,OFF-AR-10001812
ID-2019-4164990,30/09/2019 00:00,1,Wrong Item,OFF-FA-10001650
CA-2019-3292634,09/10/2019 00:00,1,Wrong Item,FUR-FU-10000260
IN-2017-394914,23/08/2017 00:00,1,Wrong Color,OFF-PA-10001944
US-2018-2579183,04/07/2018 00:00,1,Not Given,OFF-PA-10001950
IN-2018-5016881,11/10/2018 00:00,1,Not Given,OFF-BI-10001967
MX-2019-3197496,03/09/2019 00:00,1,Not Given,OFF-AR-10002975
IN-2018-4335236,05/08/2018 00:00,1,Wrong Color,FUR-CH-10004491
MX-2018-2523640,23/07/2018 00:00,1,Wrong Item,OFF-PA-10004600
MX-2018-5905224,16/03/2018 00:00,1,Wrong Color,FUR-CH-10003706
MO-2016-5292939,20/01/2017 00:00,1,Not Given,OFF-ACC-10002849
CA-2019-645023,07/01/2020 00:00,1,Wrong Item,FUR-CH-10002335
MX-2017-1731863,16/11/2017 00:00,1,Wrong Item,OFF-ST-10000718
IN-2019-1324900,16/09/2019 00:00,1,Wrong Color,OFF-EN-10000975
IN-2018-286275,25/07/2018 00:00,1,Not Given,FUR-BO-10000670
TU-2019-5052014,31/10/2019 00:00,1,Not Needed,OFF-EAT-10000820
MX-2018-2013795,09/01/2019 00:00,1,Wrong Item,OFF-BI-10003324
ID-2020-2124238,26/01/2020 00:00,2,Not Given,FUR-CH-10004447
CA-2018-2823914,21/09/2018 00:00,1,Not Given,OFF-AP-10000159
CA-2017-2536385,08/10/2017 00:00,1,Not Needed,TEC-AC-10000710
CA-2019-2765542,28/08/2019 00:00,1,Wrong Item,OFF-BI-10003650
ES-2016-2833496,04/12/2016 00:00,1,Wrong Item,TEC-MA-10004452
MX-2019-5921588,14/11/2019 00:00,2,Not Needed,OFF-SU-10004643
MX-2019-2123266,24/05/2019 00:00,1,Not Given,OFF-EN-10001533
IN-2018-5126896,24/09/2018 00:00,1,Wrong Color,OFF-FA-10003218
RW-2019-5631161,15/04/2019 00:00,1,Not Needed,OFF-BIN-10000308
MX-2017-2003889,24/06/2017 00:00,1,Not Needed,FUR-TA-10003171
NI-2018-3061672,24/02/2018 00:00,1,Wrong Color,OFF-SAN-10000874
ES-2019-3184997,16/11/2019 00:00,1,Wrong Color,OFF-BI-10001843
CA-2020-5813625,26/01/2020 00:00,1,Not Given,TEC-PH-10003072
CA-2019-2424453,09/05/2019 00:00,1,Wrong Item,FUR-FU-10000719
CA-2019-3024455,24/10/2019 00:00,1,Wrong Item,OFF-AR-10003514
US-2017-5350324,31/10/2017 00:00,1,Not Given,OFF-SU-10001133
UP-2019-5081281,26/07/2019 00:00,1,Not Needed,FUR-DEF-10000495
IN-2018-3375450,11/08/2018 00:00,1,Not Needed,OFF-BI-10002594
MO-2019-3619977,12/06/2019 00:00,1,Not Given,OFF-STA-10002719
ES-2016-1858721,25/06/2016 00:00,1,Not Needed,FUR-BO-10003103
ID-2019-2446147,07/12/2019 00:00,1,Not Given,OFF-BI-10002684
SA-2019-1802624,09/09/2019 00:00,1,Not Needed,OFF-ROG-10001399
IN-2019-4388422,19/10/2019 00:00,1,Wrong Item,TEC-AC-10004813
US-2018-5365589,26/10/2018 00:00,1,Wrong Color,OFF-SU-10000085
ES-2019-1642853,28/02/2019 00:00,1,Wrong Item,OFF-BI-10001253
ES-2019-1947873,03/01/2019 00:00,1,Wrong Item,OFF-FA-10004257
IN-2019-2069577,25/09/2019 00:00,1,Wrong Color,OFF-SU-10003522
MX-2019-2895537,13/09/2019 00:00,1,Not Given,FUR-CH-10004993
KZ-2019-1482380,08/04/2019 00:00,1,Wrong Item,FUR-TEN-10003552
ES-2018-5399752,14/06/2018 00:00,1,Wrong Color,TEC-MA-10004609
US-2019-2422009,25/12/2019 00:00,1,Not Needed,FUR-TA-10004154
TU-2019-5184686,11/11/2019 00:00,1,Not Needed,OFF-EAT-10000820
MX-2019-2231138,15/12/2019 00:00,1,Not Given,TEC-CO-10001919
AU-2019-2987306,17/01/2020 00:00,1,Wrong Item,OFF-IBI-10003541
CA-2019-5273327,30/12/2019 00:00,1,Not Given,TEC-AC-10004510
AG-2019-4922268,16/01/2020 00:00,1,Not Needed,OFF-BOS-10004950
CA-2018-3407643,07/01/2019 00:00,1,Not Needed,FUR-CH-10002331
MX-2018-5817937,31/07/2018 00:00,1,Wrong Item,FUR-FU-10000140
IN-2019-2370979,27/01/2019 00:00,1,Not Needed,OFF-PA-10003511
MX-2019-2388379,18/11/2019 00:00,1,Not Given,OFF-EN-10000139
IT-2018-2778241,24/12/2018 00:00,1,Not Given,OFF-SU-10003758
ID-2019-5851429,30/10/2019 00:00,1,Not Given,OFF-LA-10001830
NI-2018-3657572,21/01/2018 00:00,1,Wrong Color,OFF-BOS-10002340
